Column,Table,Description,
arcrole_type_id,arcrole_type,Object ID of arcrole type definition (within a schema document),
arcrole_uri,arcrole_type,Arcrole URI for this arcrole type definition.,
cycles_allowed,arcrole_type,"Arcrole definition cycles allowed (any, undirected or none)",
definition,arcrole_type,Arcrole type definition string value (human-readable meaning),
document_id,arcrole_type,Object ID of schema document defining this arcrole type,
xml_id,arcrole_type,"XML element scheme ID of source XML element (ID, ID/1/2/3 or /1/2/3 notation)",
abstract,aspect,True if the aspect (or any XML element) is defined as abstract (can not have data point or typed dimension value).,
aspect_id,aspect,"Object ID of aspect definition (an abstract model class, usually corresponds to a XBRL concept or other element definition). May have instances of values (such as datapoints or aspect value selection typed values) if not abstract.",
balance,aspect,"Balance type of the aspect (concept element). (debit, credit, or null)",
base_type,aspect,"Nice version of aspect (element) type, e.g., Table, Axis, typename without ItemType, or custom name, such as String or Monetary",
datatype_id,aspect,"Object ID of type definition of an aspect (e.g., concept element type definition)",
document_id,aspect,"Object ID of schema document defining this aspect (e.g., concept element)",
is_monetary,aspect,True if the aspect (concept element) is defined as a monetary item type.,
is_numeric,aspect,True if the aspect (concept element) is defined as a numeric data type.,
is_text_block,aspect,True if the aspect (cencept element) is defined as a text block data type.,
name,aspect,Local name of the aspect definition (such as a concept element or typed dimension element),
nillable,aspect,True if the aspect (concept element) can have a nil value.,
period_type,aspect,The period type of the aspect. May be instant (values are reported at a point in time) or duration (values are reported over a period of time).,
qname,aspect,"QName of the aspect definition (Clark notation, e.g., '{namespaceURI}localName')",
substitution_group_aspect_id,aspect,An aspect declaration substitution group reference to another aspect,
xml_id,aspect,"XML element scheme ID of the source XML element (ID, ID/1/2/3 or /1/2/3 notation)",
aspect_id,aspect_value_selection,Object ID of the aspect defining an aspect value selection (corresponds to XBRL dimension element),
aspect_value_id,aspect_value_selection,Object ID of the aspect defining enumerative value selected (corresponds to XBRL domain or member element),
aspect_value_selection_id,aspect_value_selection,"Object ID shared by a datapoint's aspect_value_selection_set and its aspect_value_selections, and aspect_value_selection_set",
is_typed_value,aspect_value_selection,True if the aspect value selection is a typed value (and then string value of typed member is provided) or false if an enumerated aspect selection (corresponding to an XBRL explicit dimension).,
report_id,aspect_value_selection,"(imputed from aspect_value_set when needed) (mistake, didn't belong in the schema, never used, always taken from aspect_value_selection_set)",
typed_value,aspect_value_selection,String value of typed dimension member (inner text of the dimension element),
aspect_value_selection_id,aspect_value_selection_set,Object ID shared by a datapoint's aspect_value_selection_set and its aspect_value_selections. (Note that aspect_values may be shared by multiple aspect_value_selection_sets of multiple data_points in possibly multiple reports),
report_id,aspect_value_selection_set,Object ID of a report owning a set of aspect value selections,
aspect_id,data_point,Object ID of the aspect defining the data point (corresponds to XBRL concept element for the fact),
aspect_value_selections_id,data_point,Object ID shared by a datapoint's aspect_value_selection_set and its aspect_value_selections (corresponds to XBRL non-defaulted dimensions),
context_xml_id,data_point,"XML element scheme ID of context XML element (almost always an ID, may be a very long id giving filer's meaning to context)",
datapoint_id,data_point,Object ID of the datapoint,
